Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,2001-10-16 13:00,0.0,17.7,20,21,24,90.5,43,259,13.4,60,29.9
JCB,2001-10-16 14:00,0.0,16.9,18,25,47,91.2,43,259,17.9,60,36.3
JCB,2001-10-16 15:00,0.0,16.1,20,27,68,91.8,43,259,21.7,60,41.2
JCB,2001-10-16 16:00,0.0,15.8,20,37,45,92.3,43,259,38.6,60,59.1
