153,133,3,32.47
133,113,7,30.69
113,93,11,30.08
93,73,15,31.73
73,53,19,31.7
53,33,22,33.84
33,13,25,40.44
153,134,50,2.79
133,114,52,2.92
113,94,55,2.97
94,74,59,33.18
33,14,61,76.4
53,34,61,68.09
73,54,61,63.45
74,55,63,57.36
94,75,63,54.69
134,115,63,50.28
34,15,64,70.03
54,35,64,63.79
55,36,66,64.65
75,56,66,61.87
115,96,66,52.57
35,16,67,56.18
56,37,69,52.03
96,77,69,64.09
36,17,70,42.07
153,132,71,0.64
77,58,72,48.16
37,18,73,41.92
58,39,76,41.84
133,112,76,0.65
39,20,79,57.84
153,154,82,2.39
154,135,85,52.03
113,92,86,0.66
135,116,88,50.45
37,38,105,2.84
56,57,106,2.51
75,76,106,2.34
38,19,108,53.66
58,59,108,2.84
77,78,108,2.61
59,40,111,56.23
154,155,122,4.01
135,136,123,4.05
116,117,126,3.88
73,52,126,0.56
78,79,132,4.99
79,60,138,24.34
155,156,147,4.05
136,137,149,3.95
117,118,153,3.75
53,32,153,0.55
79,80,154,4.69
118,99,159,25.24
156,157,173,3.97
99,100,179,5.26
118,119,179,3.94
33,12,184,0.55
157,158,206,2.9
153,152,208,0.37
158,139,209,61.83
153,174,210,0.74
119,120,211,3.14
