211,192,11,11.92
192,173,23,12.35
211,212,23,4.24
192,193,32,4.79
173,154,35,12.23
193,174,44,12.32
212,213,44,4.82
154,135,47,12.44
193,194,54,4.75
174,155,56,12.39
154,155,56,4.9
135,116,59,12.49
192,172,63,15.41
211,191,63,14.98
173,153,64,15.13
154,134,65,15.17
135,115,66,15.24
116,96,67,15.02
172,152,70,15.2
191,171,70,15.1
153,133,71,15.05
134,114,72,15.25
194,175,73,5.32
96,76,74,14.87
152,132,77,15.09
171,151,77,15.2
133,113,78,15.15
155,136,78,5.12
114,94,79,15.18
76,56,81,14.85
213,214,81,1.11
132,112,84,15.05
151,131,84,15.2
113,93,85,15.18
94,74,86,15.06
56,36,88,15.17
112,92,91,15.11
131,111,91,15.16
93,73,92,15.08
74,54,93,15.05
36,16,95,15.53
111,91,98,15.16
96,77,98,4.63
73,53,99,15.05
54,34,100,14.94
175,156,101,5.19
91,71,105,15.4
77,57,105,15.26
76,57,105,4.61
53,33,106,14.94
34,14,107,14.81
136,117,107,5.01
214,195,108,5.37
94,75,109,4.87
56,37,110,5.01
71,51,112,15.4
33,13,113,14.76
36,17,114,5.55
75,55,116,14.89
74,55,116,4.86
156,137,121,56.03
34,15,121,68.34
77,58,121,51.99
54,35,121,64.04
51,32,122,59.23
37,18,122,46.67
195,176,122,53.05
71,52,122,55.75
57,38,122,41.8
137,118,124,61.88
176,157,125,55.88
38,19,125,56.31
58,39,125,46.6
118,99,127,56.96
39,20,128,59.55
99,80,131,36.33
214,215,141,2.88
215,196,144,53.29
196,177,147,54.46
77,78,147,2.97
177,158,150,57.57
78,59,151,38.92
158,139,153,59.31
99,100,153,3.93
59,40,154,58.19
139,120,156,51.99
118,119,160,2.82
99,79,162,2.89
79,60,166,42.77
211,190,174,0.61
215,216,176,2.92
32,12,176,1.87
216,197,179,53.52
196,197,179,2.89
158,159,189,2.14
139,140,190,2.2
212,233,219,0.67
211,232,220,0.62
216,217,221,2.19
171,150,222,0.68
217,198,223,111.28
198,179,225,116.02
179,160,227,108.45
151,130,236,0.69
