Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,2001-10-16 13:00,0.0,17.7,20,21,180,90,43,259,10.9,60,26
JCB,2001-10-16 14:00,0.0,16.9,18,25,180,90,43,259,14.9,60,32
JCB,2001-10-16 15:00,0.0,16.1,20,27,125,90,43,259,17.6,60,36
JCB,2001-10-16 16:00,0.0,15.8,20,37,125,90,43,259,31.1,60,51.7
